account_id,name,type,mask,balances_current,balances_available,currency_code
CUST_0159,Diners Club / Carte Blanche,Checking,4545,5441.53,5441.53,USD
CUST_0017,VISA 13 digit,Checking,5584,5905.18,5905.18,USD
CUST_0094,Mastercard,Checking,7812,1941.35,1941.35,USD
CUST_0162,Maestro,Savings,3880,4873.83,4873.83,USD
CUST_0129,VISA 16 digit,Checking,8732,4669.34,4669.34,USD
CUST_0071,Discover,Checking,9250,1878.54,1878.54,USD
CUST_0165,VISA 16 digit,Savings,1308,1859.21,1859.21,USD
CUST_0147,American Express,Checking,9862,2556.62,2556.62,USD
CUST_0116,Mastercard,Savings,9301,3230.87,3230.87,USD
CUST_0150,Discover,Savings,9093,5150.56,5150.56,USD
CUST_0048,JCB 16 digit,Checking,4410,8138.98,8138.98,USD
CUST_0110,JCB 16 digit,Savings,7272,1948.59,1948.59,USD
CUST_0072,Diners Club / Carte Blanche,Checking,6367,3383.49,3383.49,USD
CUST_0100,JCB 15 digit,Checking,3166,3805.56,3805.56,USD
CUST_0199,Maestro,Savings,5203,9561.65,9561.65,USD
CUST_0008,JCB 16 digit,Savings,5828,2315.97,2315.97,USD
CUST_0065,American Express,Savings,2792,8702.14,8702.14,USD
CUST_0136,VISA 16 digit,Checking,3829,1944.8,1944.8,USD
CUST_0023,VISA 16 digit,Savings,8379,564.48,564.48,USD
CUST_0193,Discover,Savings,1796,5847.74,5847.74,USD
CUST_0041,VISA 13 digit,Savings,8627,3754.74,3754.74,USD
CUST_0190,Diners Club / Carte Blanche,Checking,5384,8581.51,8581.51,USD
CUST_0163,Mastercard,Savings,7647,8416.34,8416.34,USD
CUST_0155,Maestro,Savings,5613,9081.43,9081.43,USD
CUST_0064,VISA 19 digit,Checking,2555,4718.49,4718.49,USD
CUST_0021,VISA 16 digit,Savings,6615,1970.88,1970.88,USD
CUST_0050,American Express,Checking,5915,2373.05,2373.05,USD
CUST_0109,JCB 15 digit,Checking,5958,1280.11,1280.11,USD
CUST_0156,Mastercard,Checking,8815,3230.22,3230.22,USD
CUST_0083,Maestro,Checking,1261,9831.78,9831.78,USD
CUST_0180,Diners Club / Carte Blanche,Checking,9873,7594.49,7594.49,USD
CUST_0028,Mastercard,Checking,2625,6910.58,6910.58,USD
CUST_0140,VISA 13 digit,Checking,4572,7786.15,7786.15,USD
CUST_0038,JCB 15 digit,Checking,8186,7400.45,7400.45,USD
CUST_0191,JCB 16 digit,Savings,3368,3076.92,3076.92,USD
CUST_0001,Mastercard,Savings,283,8402.82,8402.82,USD
CUST_0073,Discover,Checking,3980,4551.7,4551.7,USD
CUST_0107,VISA 16 digit,Savings,7512,8860.2,8860.2,USD
CUST_0058,JCB 15 digit,Checking,3528,1076.77,1076.77,USD
CUST_0043,VISA 16 digit,Savings,3957,8629.3,8629.3,USD
CUST_0145,Maestro,Savings,3775,6672.64,6672.64,USD
CUST_0042,JCB 16 digit,Savings,8659,1810.65,1810.65,USD
CUST_0046,JCB 16 digit,Checking,5386,7298.6,7298.6,USD
CUST_0011,Maestro,Savings,5022,3430.64,3430.64,USD
CUST_0024,Maestro,Checking,6607,7543.37,7543.37,USD
CUST_0130,VISA 16 digit,Checking,364,9179.34,9179.34,USD
CUST_0057,JCB 16 digit,Savings,3028,2039.21,2039.21,USD
CUST_0091,American Express,Checking,2398,7305.84,7305.84,USD
CUST_0030,Diners Club / Carte Blanche,Savings,2320,3418.21,3418.21,USD
CUST_0053,VISA 16 digit,Savings,121,1283.68,1283.68,USD
CUST_0027,Discover,Savings,5804,8607.72,8607.72,USD
CUST_0063,Discover,Checking,3768,1364.68,1364.68,USD
CUST_0132,VISA 13 digit,Savings,6827,542.38,542.38,USD
CUST_0022,VISA 13 digit,Checking,9177,797.38,797.38,USD
CUST_0182,VISA 16 digit,Checking,4309,4881.4,4881.4,USD
CUST_0188,Discover,Savings,9208,2346.43,2346.43,USD
CUST_0154,American Express,Checking,8148,5750.4,5750.4,USD
CUST_0122,VISA 16 digit,Checking,7769,8216.73,8216.73,USD
CUST_0096,VISA 19 digit,Savings,5358,8225.0,8225.0,USD
CUST_0104,Mastercard,Checking,7678,4706.13,4706.13,USD
CUST_0076,Maestro,Checking,558,1241.88,1241.88,USD
CUST_0126,Diners Club / Carte Blanche,Savings,5372,8376.62,8376.62,USD
CUST_0194,JCB 16 digit,Checking,3706,1496.64,1496.64,USD
CUST_0035,VISA 19 digit,Checking,5336,5162.39,5162.39,USD
CUST_0033,American Express,Savings,8025,8473.93,8473.93,USD
CUST_0195,JCB 16 digit,Savings,2951,5764.47,5764.47,USD
CUST_0115,American Express,Savings,4197,6108.69,6108.69,USD
CUST_0002,JCB 16 digit,Savings,2550,6705.29,6705.29,USD
CUST_0112,American Express,Savings,438,9264.23,9264.23,USD
CUST_0066,VISA 16 digit,Savings,2161,8105.09,8105.09,USD
CUST_0020,VISA 19 digit,Savings,1795,4513.73,4513.73,USD
CUST_0077,Maestro,Checking,1311,9922.81,9922.81,USD
CUST_0146,JCB 16 digit,Savings,6371,185.36,185.36,USD
CUST_0197,Discover,Savings,6481,5472.21,5472.21,USD
CUST_0198,American Express,Savings,7024,980.22,980.22,USD
CUST_0164,VISA 19 digit,Checking,938,3355.82,3355.82,USD
CUST_0121,VISA 16 digit,Checking,8809,9484.07,9484.07,USD
CUST_0070,VISA 16 digit,Savings,4116,5395.49,5395.49,USD
CUST_0052,Diners Club / Carte Blanche,Checking,4505,552.15,552.15,USD
CUST_0185,VISA 16 digit,Savings,828,2485.8,2485.8,USD
CUST_0047,VISA 13 digit,Savings,8886,6414.96,6414.96,USD
CUST_0189,Maestro,Savings,3529,835.18,835.18,USD
CUST_0176,Mastercard,Savings,8766,937.16,937.16,USD
CUST_0004,Mastercard,Checking,7482,6108.44,6108.44,USD
CUST_0103,VISA 16 digit,Checking,5095,3501.81,3501.81,USD
CUST_0005,JCB 16 digit,Savings,8128,4204.18,4204.18,USD
CUST_0007,American Express,Savings,8015,4762.86,4762.86,USD
CUST_0135,VISA 13 digit,Savings,5472,7907.84,7907.84,USD
CUST_0010,JCB 16 digit,Checking,8489,9169.96,9169.96,USD
CUST_0143,JCB 15 digit,Savings,7360,7564.59,7564.59,USD
CUST_0036,Maestro,Savings,4041,8678.7,8678.7,USD
CUST_0160,JCB 15 digit,Savings,5517,2295.47,2295.47,USD
CUST_0018,VISA 16 digit,Savings,7454,9826.42,9826.42,USD
