user_id,iso_flag,lof_flag,is_anomaly,iso_score,lof_score,anomaly_score,severity,vel_1d,vel_7d,vel_30d,count_30d,accounts.COUNT(transactions),avg_amt_30d,accounts.MEAN(transactions.amount),accounts.MAX(transactions.amount),accounts.balances_current,days_since_last,accounts.TIME_SINCE_LAST(transactions.date),merchant_diversity,new_merchant_count,task_segment,top_category,top_merchant,primary_spending_trend,account_ids,primary_account_id,account_count
USR601Ie,False,False,False,30.09,12.69,21.39,Normal,1,1,2,2.0,43,52655.245,5562.131162790698,104974.48,5441.53,0,26438400.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Shopping,[2139676416712885],2139676416712885,1
USR784ar,False,False,False,24.55,0.59,12.57,Normal,1,3,5,5.0,49,40.038,5329.335102040816,247647.06,5905.18,0,27129600.0,0.06,3.0,Healthy Active User,Shopping,In-store,Surging in Transportation,[7543884398141519],7543884398141519,1
USR821Id,False,False,False,4.05,0.37,2.21,Normal,1,1,1,1.0,48,127.41,502.49458333333337,6177.84,1941.35,0,25920000.0,0.06,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping,[1604890074220810],1604890074220810,1
USR559Pi,False,False,False,3.3,0.09,1.7,Normal,1,1,3,3.0,60,759.1666666666669,1723.643166666667,72561.91,4873.83,0,25833600.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Personal Hygiene,[5941501766570540],5941501766570540,1
USR200Qr,False,False,False,6.63,0.29,3.46,Normal,1,1,3,3.0,53,418.85666666666674,5177.333773584905,137850.83,4669.34,0,25920000.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts,[3512077158593814],3512077158593814,1
USR674rM,False,False,False,6.65,0.81,3.73,Normal,1,2,5,5.0,56,195.888,1126.9358928571428,45596.39,1878.54,0,27043200.0,0.05,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Gifts,[5803693697951858],5803693697951858,1
USR240hY,False,False,False,10.85,0.6,5.73,Normal,1,2,2,2.0,46,307.85,3421.651086956522,133788.47,1859.21,0,25660800.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Travel,[4224306651356493],4224306651356493,1
USR778Dk,False,False,False,5.48,0.6,3.04,Normal,1,2,2,2.0,46,2335.455,1704.3506521739132,52249.94,2556.62,0,27388800.0,0.07,3.0,Consistent Weekly,Shopping,Online,Surging in Subscriptions,[3949741928248699],3949741928248699,1
USR546jz,False,False,False,3.03,0.86,1.94,Normal,1,2,3,3.0,63,161.9333333333333,491.4668253968254,6448.22,3230.87,0,25920000.0,0.05,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Fitness,[7764623284161428],7764623284161428,1
USR663xt,False,False,False,12.79,11.55,12.17,Normal,2,2,5,5.0,52,153.41400000000004,360.7036538461538,6121.45,5150.56,0,27216000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Hobbies,[9446891202578633],9446891202578633,1
USR661vO,False,False,False,7.56,0.0,3.78,Normal,1,1,1,1.0,58,10.97,1516.3505172413793,74246.46,8138.98,0,25920000.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Subscriptions,[2615180011966079],2615180011966079,1
USR451OQ,True,True,True,45.35,35.23,40.29,Medium,1,1,2,2.0,55,111677.965,5403.577454545455,223326.51,1948.59,0,28252800.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Shopping,[5574944151033046],5574944151033046,1
USR691Fc,False,False,False,3.86,1.35,2.61,Normal,1,1,4,4.0,55,173.9375,452.7343636363637,14662.15,3383.49,0,28857600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Transportation,[5767004796880259],5767004796880259,1
USR479Ei,False,False,False,8.9,0.33,4.61,Normal,1,1,2,2.0,45,113.755,4816.148222222222,138404.27,3805.56,0,26611200.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities,[9389130119020628],9389130119020628,1
USR581oW,False,False,False,15.59,0.13,7.86,Normal,1,1,1,1.0,44,157.56,4520.097272727274,166627.35,9561.65,0,27216000.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies,[8179573942020720],8179573942020720,1
USR847gv,False,False,False,4.12,0.88,2.5,Normal,1,1,3,3.0,53,60.51,2451.581886792453,107525.35,2315.97,0,26784000.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Groceries,[8848874948850153],8848874948850153,1
USR759Fr,False,False,False,20.61,1.07,10.84,Normal,1,1,4,4.0,44,68.2125,7395.055454545454,239228.17,8702.14,0,25574400.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Friend Activities,[3555536118789913],3555536118789913,1
USR689zf,False,False,False,10.71,0.09,5.4,Normal,1,2,3,3.0,58,464.0199999999999,3383.074310344828,169033.95,1944.8,0,27388800.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Personal Hygiene,[4202632551640792],4202632551640792,1
USR007mU,False,False,False,6.65,0.49,3.57,Normal,1,1,1,1.0,60,3.79,268.14500000000004,4218.34,564.48,0,26697600.0,0.05,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Groceries,[359069724284360],359069724284360,1
