user_id,phone_number,is_active,accounts.mask,accounts.balances_current,accounts.COUNT(users),accounts.STD(users.phone_number),accounts.COUNT(transactions),accounts.MAX(transactions.amount),accounts.MEAN(transactions.amount),accounts.TIME_SINCE_LAST(transactions.date),account_id = 9930706642522650,account_id = 9917427141037396,account_id = 9900112423294341,account_id = 9860410258164577,account_id = 9854565050152785,account_id = 9794651047068781,account_id = 9749369644991904,account_id = 9742732280297836,account_id = 9650043164794435,account_id = 9625783251295911,account_id is unknown,accounts.name = JCB 16 digit,accounts.name = VISA 16 digit,accounts.name = Maestro,accounts.name = Mastercard,accounts.name = American Express,accounts.name = VISA 19 digit,accounts.name = Diners Club / Carte Blanche,accounts.name = VISA 13 digit,accounts.name = Plaid Saving,accounts.name = Plaid Mortgage,accounts.name is unknown,accounts.type = Checking,accounts.type = Savings,accounts.type = credit card credit,accounts.type = CHECKING,accounts.type = SAVINGS,accounts.type = checking depository,accounts.type = savings depository,accounts.type = mortgage loan,accounts.type = student loan,accounts.type = money market depository,accounts.type is unknown,accounts.currency_code = USD,accounts.currency_code = EUR,accounts.currency_code = GBP,accounts.currency_code = CAD,accounts.currency_code = SEK,accounts.currency_code = PLN,accounts.currency_code = NOK,accounts.currency_code = DKK,accounts.currency_code = CZK,accounts.currency_code is unknown,days_since_last,vel_1d,vel_7d,vel_30d,task_segment,top_category,top_merchant,primary_spending_trend,merchant_diversity,new_merchant_count,avg_amt_30d,count_30d,account_ids,primary_account_id,account_count
USR601Ie,9940257284540,True,4545,5441.53,1,0.0,43,104974.48,5562.131162790698,26438400.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,2,Single-Tasker,Shopping,Online,Surging in Shopping,0.07,3.0,52655.244999999995,2.0,[2139676416712885],2139676416712885,1
USR784ar,163685278612,True,5584,5905.18,1,0.0,49,247647.06,5329.335102040816,27129600.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,3,5,Healthy Active User,Shopping,In-store,Surging in Transportation,0.06,3.0,40.038,5.0,[7543884398141519],7543884398141519,1
USR821Id,9010451165086,False,7812,1941.35,1,0.0,48,6177.84,502.49458333333337,25920000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,1,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping,0.06,3.0,127.41,1.0,[1604890074220810],1604890074220810,1
USR559Pi,1403156369907,True,3880,4873.83,1,0.0,60,72561.91,1723.643166666667,25833600.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,3,Single-Tasker,Shopping,Online,Surging in Personal Hygiene,0.05,3.0,759.1666666666669,3.0,[5941501766570540],5941501766570540,1
USR200Qr,6357412364929,True,8732,4669.34,1,0.0,53,137850.83,5177.333773584905,25920000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,3,Single-Tasker,Shopping,Mobile App,Surging in Gifts,0.06,3.0,418.85666666666674,3.0,[3512077158593814],3512077158593814,1
USR674rM,2950127882471,False,9250,1878.54,1,0.0,56,45596.39,1126.9358928571428,27043200.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2,5,Consistent Weekly,Shopping,Mobile App,Surging in Gifts,0.05,3.0,195.888,5.0,[5803693697951858],5803693697951858,1
USR240hY,8068443470772,False,1308,1859.21,1,0.0,46,133788.47,3421.651086956522,25660800.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2,2,Consistent Weekly,Shopping,In-store,Surging in Travel,0.07,3.0,307.85,2.0,[4224306651356493],4224306651356493,1
USR778Dk,7533389736473,True,9862,2556.62,1,0.0,46,52249.94,1704.3506521739132,27388800.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2,2,Consistent Weekly,Shopping,Online,Surging in Subscriptions,0.07,3.0,2335.455,2.0,[3949741928248699],3949741928248699,1
USR546jz,3758513797865,True,9301,3230.87,1,0.0,63,6448.22,491.4668253968254,25920000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2,3,Consistent Weekly,Housing and Utilities,In-store,Surging in Fitness,0.05,3.0,161.9333333333333,3.0,[7764623284161428],7764623284161428,1
USR663xt,5618528697989,False,9093,5150.56,1,0.0,52,6121.45,360.7036538461538,27216000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,2,2,5,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Hobbies,0.06,3.0,153.41400000000004,5.0,[9446891202578633],9446891202578633,1
USR661vO,5805700709211,False,4410,8138.98,1,0.0,58,74246.46,1516.3505172413793,25920000.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,1,Single-Tasker,Shopping,Online,Surging in Subscriptions,0.05,3.0,10.97,1.0,[2615180011966079],2615180011966079,1
USR451OQ,4134960346473,False,7272,1948.59,1,0.0,55,223326.51,5403.577454545455,28252800.0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,2,Single-Tasker,Shopping,In-store,Surging in Shopping,0.05,3.0,111677.96500000001,2.0,[5574944151033046],5574944151033046,1
USR691Fc,1189912437097,False,6367,3383.49,1,0.0,55,14662.15,452.73436363636364,28857600.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,4,Single-Tasker,Shopping,In-store,Surging in Transportation,0.05,3.0,173.9375,4.0,[5767004796880259],5767004796880259,1
USR479Ei,7048945915671,True,3166,3805.56,1,0.0,45,138404.27,4816.148222222222,26611200.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,1,2,Single-Tasker,Shopping,Online,Surging in Friend Activities,0.07,3.0,113.755,2.0,[9389130119020628],9389130119020628,1
