user_id,forecast_month,n_months_history,segment,spend_forecast,spend_lower,spend_upper,spend_method,count_forecast,count_lower,count_upper,count_method,avg_amount_forecast,hist_avg_spend,hist_avg_count,last_month_spend,last_month_count,spend_pct_change_vs_hist,spend_direction,spend_vs_last_month_pct,confidence,top_category_forecasts,trend_summary,confidence_note,account_ids,primary_account_id,account_count,per_account_forecasts
USR000Ux,2025-11,2,Single-Tasker,2000.0,1600.0,2400.0,wma,1,1,1,wma,2000.0,2000.0,1.0,2000.0,1,0.0,stable,0.0,low,"{""Other"": {""forecast"": 2000.0, ""lower"": 1600.0, ""upper"": 2400.0, ""hist_avg"": 2000.0, ""data_points"": 2}}",Your spending is forecast to remain stable near your historical average of $2000.,Based on 2 months of data using wma. Treat as indicative only.,[3735199680059000],3735199680059000,1,"[{""account_id"": 3735199680059000, ""account_name"": ""Sparkonto"", ""account_type"": ""SAVINGS"", ""currency_code"": ""SEK"", ""spend_forecast"": 2000.0, ""spend_lower"": 1600.0, ""spend_upper"": 2400.0, ""hist_avg_spend"": 2000.0, ""n_months"": 2}]"
USR001YL,2025-02,22,Consistent Weekly,12843.18,0.0,65538.59,prophet,2,1,4,prophet,6421.59,9775.01,2.5,1155.38,1,31.4,increasing,1011.6,high,"{""Shopping"": {""forecast"": 136765.56, ""lower"": 109412.45, ""upper"": 164118.68, ""hist_avg"": 102601.68, ""data_points"": 2}, ""Gifts"": {""forecast"": 761.0, ""lower"": 608.8, ""upper"": 913.19, ""hist_avg"": 377.74, ""data_points"": 7}, ""Fitness"": {""forecast"": 490.57, ""lower"": 392.45, ""upper"": 588.68, ""hist_avg"": 417.43, ""data_points"": 5}}",Your spending is forecast to increasing by 31% vs your historical average.,Based on 22 months of data using prophet.,[3220502303885391],3220502303885391,1,"[{""account_id"": 3220502303885391, ""account_name"": ""VISA 16 digit"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 643.88, ""spend_lower"": 515.1, ""spend_upper"": 772.65, ""hist_avg_spend"": 9775.01, ""n_months"": 22}]"
USR001ul,2025-11,25,Single-Tasker,25.25,19.49,31.15,prophet,2,2,2,prophet,12.62,28.22,2.0,4.22,1,-10.5,decreasing,498.3,high,"{""Finance"": {""forecast"": 16.72, ""lower"": 13.38, ""upper"": 20.06, ""hist_avg"": 28.22, ""data_points"": 25}}",Your spending is forecast to decreasing by 10% vs your historical average.,Based on 25 months of data using prophet.,[2072980663691903],2072980663691903,1,"[{""account_id"": 2072980663691903, ""account_name"": ""Plaid Saving"", ""account_type"": ""savings depository"", ""currency_code"": ""USD"", ""spend_forecast"": 16.72, ""spend_lower"": 13.38, ""spend_upper"": 20.06, ""hist_avg_spend"": 28.22, ""n_months"": 25}]"
USR002SI,2025-11,25,Healthy Active User,3980.95,2444.41,5521.31,prophet,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,-0.2,stable,696.2,high,"{""Finance"": {""forecast"": 2578.5, ""lower"": 2062.8, ""upper"": 3094.2, ""hist_avg"": 2690.61, ""data_points"": 23}, ""Fitness"": {""forecast"": 578.5, ""lower"": 462.8, ""upper"": 694.2, ""hist_avg"": 578.5, ""data_points"": 24}, ""Food and Dining"": {""forecast"": 500.0, ""lower"": 400.0, ""upper"": 600.0, ""hist_avg"": 521.74, ""data_points"": 23}}",Your spending is forecast to remain stable near your historical average of $3991.,Based on 25 months of data using prophet.,[2535382260794098],2535382260794098,1,"[{""account_id"": 2535382260794098, ""account_name"": ""Plaid Credit Card"", ""account_type"": ""credit card credit"", ""currency_code"": ""USD"", ""spend_forecast"": 2328.5, ""spend_lower"": 1862.8, ""spend_upper"": 2794.2, ""hist_avg_spend"": 3990.72, ""n_months"": 25}]"
USR006To,2025-11,2,Healthy Active User,1542.83,1234.27,1851.4,wma,3,2,3,wma,514.28,2064.25,3.5,500.0,1,-25.3,decreasing,208.6,low,"{""Finance"": {""forecast"": 2103.5, ""lower"": 1682.8, ""upper"": 2524.2, ""hist_avg"": 2103.5, ""data_points"": 1}, ""Transportation"": {""forecast"": 500.0, ""lower"": 400.0, ""upper"": 600.0, ""hist_avg"": 500.0, ""data_points"": 2}, ""Shopping"": {""forecast"": 525.0, ""lower"": 420.0, ""upper"": 630.0, ""hist_avg"": 525.0, ""data_points"": 1}}",Your spending is forecast to decreasing by 25% vs your historical average.,Based on 2 months of data using wma. Treat as indicative only.,[7595805029500185],7595805029500185,1,"[{""account_id"": 7595805029500185, ""account_name"": ""Plaid Credit Card"", ""account_type"": ""credit card credit"", ""currency_code"": ""GBP"", ""spend_forecast"": 1542.83, ""spend_lower"": 1234.27, ""spend_upper"": 1851.4, ""hist_avg_spend"": 2064.25, ""n_months"": 2}]"
USR007mU,2025-01,21,Single-Tasker,1213.59,0.0,2598.3,prophet,3,1,5,prophet,404.53,766.13,2.9,3.79,1,58.4,increasing,31920.8,high,"{""Housing and Utilities"": {""forecast"": 1356.19, ""lower"": 1084.95, ""upper"": 1627.43, ""hist_avg"": 1849.53, ""data_points"": 3}, ""Shopping"": {""forecast"": 1655.41, ""lower"": 1324.33, ""upper"": 1986.5, ""hist_avg"": 1273.54, ""data_points"": 2}, ""Medical/Dental"": {""forecast"": 350.0, ""lower"": 280.0, ""upper"": 420.0, ""hist_avg"": 388.04, ""data_points"": 5}}",Your spending is forecast to increasing by 58% vs your historical average.,Based on 21 months of data using prophet.,[359069724284360],359069724284360,1,"[{""account_id"": 359069724284360, ""account_name"": ""VISA 16 digit"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 459.85, ""spend_lower"": 367.88, ""spend_upper"": 551.82, ""hist_avg_spend"": 766.13, ""n_months"": 21}]"
USR009qR,2025-02,24,Single-Tasker,435.75,0.0,2444.12,prophet,2,0,4,prophet,217.88,933.42,2.2,19.72,1,-53.3,decreasing,2109.7,high,"{""Housing and Utilities"": {""forecast"": 1013.69, ""lower"": 810.95, ""upper"": 1216.43, ""hist_avg"": 1552.35, ""data_points"": 6}, ""Shopping"": {""forecast"": 1542.8, ""lower"": 1234.24, ""upper"": 1851.36, ""hist_avg"": 1872.67, ""data_points"": 4}, ""Medical/Dental"": {""forecast"": 708.91, ""lower"": 567.13, ""upper"": 850.69, ""hist_avg"": 410.54, ""data_points"": 7}}",Your spending is forecast to decreasing by 53% vs your historical average.,Based on 24 months of data using prophet.,[2360682911426535],2360682911426535,1,"[{""account_id"": 2360682911426535, ""account_name"": ""VISA 16 digit"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 84.87, ""spend_lower"": 67.9, ""spend_upper"": 101.84, ""hist_avg_spend"": 933.42, ""n_months"": 24}]"
USR013pA,2025-01,23,Single-Tasker,0.0,0.0,41238.94,prophet,3,1,5,prophet,0.0,13361.75,2.5,529.33,3,-100.0,decreasing,-100.0,high,"{""Shopping"": {""forecast"": 37002.76, ""lower"": 29602.21, ""upper"": 44403.31, ""hist_avg"": 59386.9, ""data_points"": 5}, ""Travel"": {""forecast"": 923.29, ""lower"": 738.63, ""upper"": 1107.95, ""hist_avg"": 614.15, ""data_points"": 6}, ""Fitness"": {""forecast"": 490.69, ""lower"": 392.55, ""upper"": 588.83, ""hist_avg"": 428.66, ""data_points"": 3}}",Your spending is forecast to decreasing by 100% vs your historical average.,Based on 23 months of data using prophet.,[5276874342658015],5276874342658015,1,"[{""account_id"": 5276874342658015, ""account_name"": ""American Express"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 752.71, ""spend_lower"": 602.17, ""spend_upper"": 903.25, ""hist_avg_spend"": 13361.75, ""n_months"": 23}]"
USR017aL,2025-11,25,Single-Tasker,534.4,416.15,656.34,prophet,5,4,7,prophet,106.88,596.34,5.8,89.4,1,-10.4,decreasing,497.8,high,"{""Transportation"": {""forecast"": 512.78, ""lower"": 410.23, ""upper"": 615.34, ""hist_avg"": 511.73, ""data_points"": 24}, ""Groceries"": {""forecast"": 89.4, ""lower"": 71.52, ""upper"": 107.28, ""hist_avg"": 89.4, ""data_points"": 25}, ""Food and Dining"": {""forecast"": 16.33, ""lower"": 13.06, ""upper"": 19.6, ""hist_avg"": 16.33, ""data_points"": 24}}",Your spending is forecast to decreasing by 10% vs your historical average.,Based on 25 months of data using prophet.,[4916050943390846],4916050943390846,1,"[{""account_id"": 4916050943390846, ""account_name"": ""Plaid Checking"", ""account_type"": ""checking depository"", ""currency_code"": ""USD"", ""spend_forecast"": 353.43, ""spend_lower"": 282.74, ""spend_upper"": 424.12, ""hist_avg_spend"": 596.34, ""n_months"": 25}]"
USR024KD,2025-11,1,Single-Tasker,541.95,433.56,650.34,segment_median,1,1,1,wma,541.95,4.22,1.0,4.22,1,12742.4,increasing,12742.4,low,"{""Finance"": {""forecast"": 4.22, ""lower"": 3.38, ""upper"": 5.06, ""hist_avg"": 4.22, ""data_points"": 1}}",Your spending is forecast to increasing by 12742% vs your historical average.,Based on 1 months of data using segment_median. Treat as indicative only.,[2633347958766607],2633347958766607,1,"[{""account_id"": 2633347958766607, ""account_name"": ""Plaid Saving"", ""account_type"": ""savings depository"", ""currency_code"": ""GBP"", ""spend_forecast"": 4.22, ""spend_lower"": 3.38, ""spend_upper"": 5.06, ""hist_avg_spend"": 4.22, ""n_months"": 1}]"
USR031uI,2025-02,22,Consistent Weekly,9664.54,0.0,24502.23,prophet,2,1,4,prophet,4832.27,3386.83,2.5,12.35,1,185.4,increasing,78155.4,high,"{""Shopping"": {""forecast"": 30971.11, ""lower"": 24776.89, ""upper"": 37165.33, ""hist_avg"": 15990.61, ""data_points"": 4}, ""Personal Hygiene"": {""forecast"": 1154.4, ""lower"": 923.52, ""upper"": 1385.28, ""hist_avg"": 420.14, ""data_points"": 6}, ""Housing and Utilities"": {""forecast"": 1154.87, ""lower"": 923.9, ""upper"": 1385.84, ""hist_avg"": 796.51, ""data_points"": 3}}",Your spending is forecast to increasing by 185% vs your historical average.,Based on 22 months of data using prophet.,[3145676334558816],3145676334558816,1,"[{""account_id"": 3145676334558816, ""account_name"": ""American Express"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 73.97, ""spend_lower"": 59.17, ""spend_upper"": 88.76, ""hist_avg_spend"": 3386.83, ""n_months"": 22}]"
USR032gM,2025-11,25,Healthy Active User,3980.95,2215.15,5640.39,prophet,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,-0.2,stable,696.2,high,"{""Finance"": {""forecast"": 2578.5, ""lower"": 2062.8, ""upper"": 3094.2, ""hist_avg"": 2690.61, ""data_points"": 23}, ""Fitness"": {""forecast"": 578.5, ""lower"": 462.8, ""upper"": 694.2, ""hist_avg"": 578.5, ""data_points"": 24}, ""Food and Dining"": {""forecast"": 500.0, ""lower"": 400.0, ""upper"": 600.0, ""hist_avg"": 521.74, ""data_points"": 23}}",Your spending is forecast to remain stable near your historical average of $3991.,Based on 25 months of data using prophet.,[2198777834273947],2198777834273947,1,"[{""account_id"": 2198777834273947, ""account_name"": ""Plaid Credit Card"", ""account_type"": ""credit card credit"", ""currency_code"": ""USD"", ""spend_forecast"": 2328.5, ""spend_lower"": 1862.8, ""spend_upper"": 2794.2, ""hist_avg_spend"": 3990.72, ""n_months"": 25}]"
