user_id,phone_number,is_active,accounts.mask,accounts.balances_current,accounts.COUNT(users),accounts.STD(users.phone_number),accounts.COUNT(transactions),accounts.MAX(transactions.amount),accounts.MEAN(transactions.amount),accounts.TIME_SINCE_LAST(transactions.date),accounts.COUNT(monthly_stats),accounts.MAX(monthly_stats.Entertainment),accounts.MAX(monthly_stats.Finance),accounts.MAX(monthly_stats.Fitness),accounts.MAX(monthly_stats.Food),accounts.MAX(monthly_stats.Food and Dining),accounts.MAX(monthly_stats.Friend Activities),accounts.MAX(monthly_stats.Gifts),accounts.MAX(monthly_stats.Groceries),accounts.MAX(monthly_stats.Hobbies),accounts.MAX(monthly_stats.Housing and Utilities),accounts.MAX(monthly_stats.Medical/Dental),accounts.MAX(monthly_stats.Other),accounts.MAX(monthly_stats.Personal Hygiene),accounts.MAX(monthly_stats.Shopping),accounts.MAX(monthly_stats.Subscriptions),accounts.MAX(monthly_stats.Transportation),accounts.MAX(monthly_stats.Travel),accounts.MAX(monthly_stats.avg_transaction_value),accounts.MAX(monthly_stats.total_spend),accounts.MAX(monthly_stats.total_transactions),accounts.MEAN(monthly_stats.Fitness),accounts.MEAN(monthly_stats.Food),accounts.MEAN(monthly_stats.Friend Activities),accounts.MEAN(monthly_stats.Gifts),accounts.MEAN(monthly_stats.Hobbies),accounts.MEAN(monthly_stats.Housing and Utilities),accounts.MEAN(monthly_stats.Medical/Dental),accounts.MEAN(monthly_stats.Personal Hygiene),accounts.MEAN(monthly_stats.Subscriptions),accounts.MEAN(monthly_stats.Transportation),accounts.MEAN(monthly_stats.Travel),accounts.MEAN(monthly_stats.avg_transaction_value),accounts.MEAN(monthly_stats.total_spend),accounts.STD(monthly_stats.Fitness),accounts.STD(monthly_stats.Housing and Utilities),accounts.STD(monthly_stats.Medical/Dental),accounts.STD(monthly_stats.Transportation),accounts.STD(monthly_stats.Travel),accounts.STD(monthly_stats.total_transactions),accounts.SUM(monthly_stats.Entertainment),accounts.SUM(monthly_stats.Food and Dining),accounts.SUM(monthly_stats.Groceries),accounts.SUM(monthly_stats.Housing and Utilities),accounts.SUM(monthly_stats.Medical/Dental),accounts.SUM(monthly_stats.Other),accounts.SUM(monthly_stats.Personal Hygiene),accounts.SUM(monthly_stats.Transportation),accounts.SUM(monthly_stats.Travel),accounts.SUM(monthly_stats.total_spend),accounts.TIME_SINCE_LAST(monthly_stats.month_start_date),accounts.COUNT(all_time_stats),accounts.STD(all_time_stats.avg_transactions_value),accounts.STD(all_time_stats.largest_transaction),accounts.STD(all_time_stats.total_transactions),account_id = 9930706642522650,account_id = 9917427141037396,account_id = 9900112423294341,account_id = 9860410258164577,account_id = 9854565050152785,account_id = 9794651047068781,account_id = 9749369644991904,account_id = 9742732280297836,account_id = 9650043164794435,account_id = 9625783251295911,account_id is unknown,accounts.name = JCB 16 digit,accounts.name = VISA 16 digit,accounts.name = Maestro,accounts.name = Mastercard,accounts.name = American Express,accounts.name = VISA 19 digit,accounts.name = Diners Club / Carte Blanche,accounts.name = VISA 13 digit,accounts.name = Plaid Saving,accounts.name = Plaid Mortgage,accounts.name is unknown,accounts.type = Checking,accounts.type = Savings,accounts.type = credit card credit,accounts.type = CHECKING,accounts.type = SAVINGS,accounts.type = checking depository,accounts.type = savings depository,accounts.type = mortgage loan,accounts.type = student loan,accounts.type = money market depository,accounts.type is unknown,accounts.currency_code = USD,accounts.currency_code = EUR,accounts.currency_code = GBP,accounts.currency_code = CAD,accounts.currency_code = SEK,accounts.currency_code = PLN,accounts.currency_code = NOK,accounts.currency_code = DKK,accounts.currency_code = CZK,accounts.currency_code is unknown,days_since_last,vel_1d,vel_7d,vel_30d,task_segment,top_category,top_merchant,primary_spending_trend,merchant_diversity,new_merchant_count,avg_amt_30d,count_30d
USR601Ie,9940257284540,True,4545,5441.53,1,0.0,43,104974.48,5562.131162790698,26438400.0,21,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,53355.45,0.0,4.0,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.047619047619047616,0.23809523809523808,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.047619047619047616,4922.511428571428,0.0,0.35856858280031806,0.35856858280031806,0.4364357804719848,0.21821789023599236,0.21821789023599236,0.8646496675642961,0.0,0.0,3.0,3.0,5.0,0.0,2.0,1.0,1.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,2.0,Single-Tasker,Shopping,Online,Surging in Shopping,0.07,3.0,52655.244999999995,2.0
USR784ar,163685278612,True,5584,5905.18,1,0.0,49,247647.06,5329.335102040816,27129600.0,22,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,82643.98,0.0,5.0,0.18181818181818182,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.22727272727272727,0.13636363636363635,0.22727272727272727,0.09090909090909091,0.18181818181818182,0.2727272727272727,4024.3568181818177,0.0,0.5010810823432182,0.42893202722888857,0.3512500866571044,0.5010810823432182,0.4558423058385518,1.1925090867905042,0.0,0.0,6.0,5.0,3.0,0.0,5.0,4.0,6.0,0.0,29289600.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,3.0,5.0,Healthy Active User,Shopping,In-store,Surging in Transportation,0.06,3.0,40.038,5.0
USR821Id,9010451165086,False,7812,1941.35,1,0.0,48,6177.84,502.49458333333337,25920000.0,23,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,3090.98,0.0,4.0,0.21739130434782608,0.21739130434782608,0.0,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.30434782608695654,542.2108695652174,0.0,0.42174116783664994,0.3875533878815899,0.2881040655200304,0.5762081310400607,0.4704719688969647,0.9001536978993628,0.0,0.0,3.0,4.0,2.0,0.0,3.0,4.0,7.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,1.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping,0.06,3.0,127.41,1.0
USR559Pi,1403156369907,True,3880,4873.83,1,0.0,60,72561.91,1723.643166666667,25833600.0,23,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,36311.51,0.0,7.0,0.17391304347826086,0.2608695652173913,0.043478260869565216,0.30434782608695654,0.30434782608695654,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.13043478260869565,0.08695652173913043,1931.6152173913044,0.0,0.3875533878815899,0.34435022157509093,0.38755338788158983,0.34435022157509093,0.2881040655200304,1.5879984667608413,0.0,0.0,9.0,3.0,4.0,0.0,6.0,3.0,2.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,3.0,Single-Tasker,Shopping,Online,Surging in Personal Hygiene,0.05,3.0,759.1666666666669,3.0
USR200Qr,6357412364929,True,8732,4669.34,1,0.0,53,137850.83,5177.333773584905,25920000.0,22,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,69870.18,0.0,5.0,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.22727272727272727,0.22727272727272727,0.09090909090909091,0.18181818181818182,0.045454545454545456,4819.415,0.0,0.35125008665710444,0.4767312946227962,0.4289320272288885,0.39477101697586137,0.21320071635561041,1.181568405173351,0.0,0.0,3.0,7.0,5.0,0.0,5.0,4.0,1.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,1.0,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts,0.06,3.0,418.85666666666674,3.0
USR674rM,2950127882471,False,9250,1878.54,1,0.0,56,45596.39,1126.9358928571428,27043200.0,23,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,23046.39,0.0,6.0,0.0,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.17391304347826086,0.13043478260869565,0.17391304347826086,1443.5495652173913,0.0,0.0,0.4217411678366499,0.4489777585448796,0.34435022157509093,0.4910261901035309,1.4717363572115558,0.0,0.0,8.0,5.0,6.0,0.0,5.0,3.0,4.0,0.0,29289600.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,2.0,5.0,Consistent Weekly,Shopping,Mobile App,Surging in Gifts,0.05,3.0,195.888,5.0
USR240hY,8068443470772,False,1308,1859.21,1,0.0,46,133788.47,3421.651086956522,25660800.0,20,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,66927.03,0.0,4.0,0.25,0.2,0.1,0.05,0.15,0.4,0.15,0.2,0.2,0.1,0.25,3950.2875,0.0,0.6386663736585051,0.5982430416161189,0.48936048492959283,0.3077935056255462,0.5501196042201808,1.0310954828418377,0.0,0.0,2.0,8.0,3.0,0.0,4.0,2.0,5.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,2.0,2.0,Consistent Weekly,Shopping,In-store,Surging in Travel,0.07,3.0,307.85,2.0
USR778Dk,7533389736473,True,9862,2556.62,1,0.0,46,52249.94,1704.3506521739132,27388800.0,21,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,52249.94,0.0,5.0,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.047619047619047616,3006.805238095238,0.0,0.7171371656006361,0.4629100498862757,0.6436503043467892,0.30079260375911915,0.21821789023599236,1.4006801069140529,0.0,0.0,1.0,6.0,6.0,0.0,2.0,2.0,1.0,0.0,29289600.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,2.0,2.0,Consistent Weekly,Shopping,Online,Surging in Subscriptions,0.07,3.0,2335.455,2.0
USR546jz,3758513797865,True,9301,3230.87,1,0.0,63,6448.22,491.4668253968254,25920000.0,25,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2336.05,0.0,5.0,0.28,0.2,0.24,0.32,0.24,0.2,0.28,0.2,0.16,0.04,0.2,457.2076,0.0,0.5416025603090641,0.4082482904638631,0.45825756949558405,0.2,0.408248290463863,1.194431524477928,0.0,0.0,2.0,5.0,7.0,0.0,5.0,1.0,5.0,0.0,26611200.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,1.0,2.0,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Fitness,0.05,3.0,161.9333333333333,3.0
USR663xt,5618528697989,False,9093,5150.56,1,0.0,52,6121.45,360.7036538461538,27216000.0,21,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2139.42,0.0,4.0,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.3333333333333333,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.09523809523809523,316.90714285714284,0.0,0.5773502691896258,0.40237390808147816,0.40237390808147827,0.511766315719159,0.30079260375911915,1.077916862241593,0.0,0.0,3.0,4.0,4.0,0.0,4.0,4.0,2.0,0.0,29289600.0,1,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,2.0,2.0,5.0,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Hobbies,0.06,3.0,153.41400000000004,5.0
